Cycles 80%,ECSA/ECSA_0 Cycles 80%,ECSA (m2_pd/ g_pd) 80%,Roughness 80%,Cycles 10%,ECSA/ECSA_0 Cycles 10%,ECSA (m2_pd/ g_pd) 10%,Roughness 10%,Cycles 20%,ECSA/ECSA_0 Cycles 20%,ECSA (m2_pd/ g_pd) 20%,Roughness 20%,Cycles 40%,ECSA/ECSA_0 Cycles 40%,ECSA (m2_pd/ g_pd) 40%,Roughness 40%
59.56267135,0.91396733,9.139673302,16.45141194,8.639212788,0.976292061,183.5429075,18.35429075,9.287756891,0.979796919,104.8382703,15.72574055,41.76749821,0.948425142,45.52440681,13.65732204
111.9971127,0.840323194,8.403231937,15.12581749,48.85452429,0.790397383,148.5947079,14.85947079,51.55870787,0.824455188,88.2167051,13.23250577,87.50092128,0.796567271,38.23522902,11.47056871
164.5708457,0.78292046,7.829204596,14.09256827,106.2821714,0.491895816,92.47641346,9.247641346,109.9299636,0.599293604,64.12441559,9.618662339,140.2171322,0.755777466,36.27731839,10.88319552
217.2893879,0.742402479,7.424024789,13.36324462,69.7096084,0.69085019,129.8798357,12.98798357,209.6664955,0.416073226,44.51983522,6.677975284,192.3170563,0.64312862,30.87017377,9.261052131
269.9187658,0.69148794,6.914879396,12.44678291,209.0618583,0.345572523,64.9676344,6.49676344,310.0427888,0.307449022,32.89704541,4.934556811,245.1615613,0.617297899,29.63029917,8.889089752
322.7821666,0.667860475,6.678604747,12.02148854,309.5930768,0.25501261,47.9423707,4.79423707,410.6785348,0.229077013,24.51124034,3.676686051,297.7540032,0.562076617,26.97967764,8.093903292
375.5103971,0.628472153,6.28472153,11.31249875,410.2871314,0.183439374,34.4866024,3.44866024,511.6482564,0.189646542,20.29218,3.043827001,350.5846686,0.534632205,25.66234584,7.698703751
428.394149,0.607217624,6.072176244,10.92991724,511.4184243,0.162848126,30.61544778,3.061544778,612.7026864,0.160093088,17.12996045,2.569494067,403.4534071,0.511627118,24.55810165,7.367430495
481.1494741,0.570988527,5.709885274,10.27779349,612.5189647,0.138671137,26.07017371,2.607017371,713.7562485,0.130438429,13.95691186,2.093536779,456.1942959,0.473714757,22.73830835,6.821492504
534.1707398,0.565768108,5.65768108,10.18382594,712.6043263,0.136749301,25.70886857,2.570886857,814.8332508,0.103516893,11.07630759,1.661446138,509.1842078,0.464838485,22.3122473,6.69367419
586.8841587,0.524652749,5.246527493,9.443749487,809.0147572,0.143830538,27.04014107,2.704014107,916.032816,0.090886196,9.72482292,1.458723438,561.9263853,0.427076376,20.49966606,6.149899819
639.9016441,0.518991556,5.189915558,9.341848005,912.2808112,0.116637732,21.92789357,2.192789357,1017.217561,0.076527421,8.188434068,1.22826511,614.8406583,0.409380605,19.65026903,5.895080708
692.7951402,0.498873196,4.988731957,8.979717523,1011.394352,0.116291274,21.86275958,2.186275958,1118.455928,0.068421023,7.321049409,1.098157411,667.7068196,0.386075015,18.5316007,5.55948021
745.7864407,0.490158833,4.901588328,8.82285899,1112.558203,0.099496322,18.70530845,1.870530845,1219.653082,0.05550921,5.939485444,0.890922817,720.6336787,0.369846785,17.75264568,5.325793703
798.678567,0.469880762,4.698807619,8.457853714,1216.731903,0.099768126,18.75640775,1.875640775,1320.88493,0.046642693,4.990768112,0.748615217,773.5831328,0.356253136,17.10015054,5.130045163
851.6207187,0.455435649,4.554356493,8.197841688,1316.900491,0.085346593,16.0451594,1.60451594,1422.161437,0.042983453,4.59922942,0.689884413,826.5115471,0.340206245,16.32989974,4.898969922
904.6029767,0.445666936,4.456669358,8.022004845,1419.749351,0.087392128,16.42972,1.642972,1523.423489,0.037638674,4.027338149,0.604100722,879.4141116,0.321145257,15.41497235,4.624491706
957.5416777,0.430819465,4.30819465,7.75475037,1521.023075,0.083408276,15.6807558,1.56807558,1624.693078,0.033172727,3.5494818,0.53242227,932.4134658,0.313369966,15.04175836,4.512527509
1010.509357,0.419350924,4.193509243,7.548316637,1624.336805,0.076006311,14.28918656,1.428918656,1725.95769,0.028126519,3.009537544,0.451430632,985.2831597,0.290476272,13.94286105,4.182858316
1063.435409,0.403028572,4.030285716,7.254514288,1721.428251,0.062493917,11.74885647,1.174885647,1827.234563,0.024509939,2.622563485,0.393384523,1038.338224,0.289196764,13.88144468,4.164433404
1116.468615,0.399200402,3.992004024,7.185607243,1825.891778,0.064816136,12.18543355,1.218543355,1928.50161,0.019747571,2.112990097,0.316948515,1091.284131,0.275189512,13.20909658,3.962728974
1169.415772,0.385338849,3.853388486,6.936099274,1928.869422,0.062634496,11.77528532,1.177528532,2029.792164,0.01772613,1.896695892,0.284504384,1144.240198,0.262366962,12.59361417,3.77808425
1222.388865,0.374501537,3.745015366,6.741027658,2030.163276,0.060997812,11.46758857,1.146758857,2131.090794,0.016646473,1.781172633,0.267175895,1197.25432,0.256313556,12.30305071,3.690915212
1275.381985,0.365999304,3.659993037,6.587987466,2134.279028,0.044644486,8.393163446,0.839316345,2232.35898,0.012016921,1.285810543,0.192871581,1250.20617,0.242999215,11.66396234,3.499188701
1328.404979,0.360980349,3.609803487,6.497646277,2237.203095,0.014340701,2.696051823,0.269605182,2333.666523,0.011976462,1.281481463,0.192222219,1303.296904,0.245878881,11.80218631,3.540655893
1381.335423,0.345170138,3.451701383,6.21306249,2360.384049,0.014739923,2.771105454,0.277110545,2434.984907,0.013200003,1.412400318,0.211860048,1356.120197,0.217574782,10.44358953,3.13307686
1434.38571,0.343333664,3.433336641,6.180005953,2473.679524,0.024992375,4.698566502,0.46985665,2516.990222,0.01251968,1.339605764,0.200940865,1409.112786,0.20901067,10.03251218,3.009753654
1487.319551,0.327919512,3.279195122,5.902551219,2538.616996,0.002951588,0.554898633,0.055489863,-2.27E-13,1.00020985,107.022454,16.0533681,1462.119994,0.202151135,9.703254503,2.910976351
1540.359535,0.324881674,3.248816741,5.847870135,-4.55E-13,1.00020985,188.0394518,18.80394518,,,,,1515.176092,0.200992206,9.647625873,2.894287762
1593.309663,0.311366605,3.113666053,5.604598896,,,,,,,,,1568.116881,0.186388128,8.946630145,2.683989043
1646.355639,0.30902735,3.090273501,5.562492302,,,,,,,,,1621.159048,0.183604811,8.813030914,2.643909274
1699.329855,0.298320978,2.983209782,5.369777608,,,,,,,,,1674.173765,0.177620879,8.525802188,2.557740656
1752.326526,0.290232761,2.90232761,5.224189698,,,,,,,,,1727.193115,0.172177075,8.264499605,2.479349882
1805.365532,0.287080939,2.870809391,5.167456904,,,,,,,,,1780.168208,0.161572912,7.755499769,2.326649931
1858.388443,0.28205227,2.820522696,5.076940854,,,,,,,,,1833.216146,0.159462488,7.654199415,2.296259825
1911.357452,0.27073873,2.707387297,4.873297134,,,,,,,,,1886.241256,0.154690282,7.425133535,2.227540061
1964.374121,0.264982334,2.649823338,4.769682009,,,,,,,,,1939.216749,0.144132748,6.918371928,2.075511578
2017.431512,0.263974185,2.639741853,4.751535336,,,,,,,,,1992.30131,0.146292617,7.022045609,2.106613683
2070.428599,0.255934443,2.559344427,4.606819968,,,,,,,,,2045.214641,0.128486963,6.167374227,1.850212268
2123.455543,0.251376172,2.513761724,4.524771104,,,,,,,,,2098.341536,0.135582893,6.507978869,1.952393661
2176.463795,0.244638393,2.446383929,4.403491073,,,,,,,,,2151.260822,0.11847172,5.68664258,1.705992774
2229.51425,0.242821348,2.428213478,4.37078426,,,,,,,,,2204.410132,0.128181291,6.152701984,1.845810595
2282.510993,0.234741668,2.347416676,4.225350016,,,,,,,,,2257.337503,0.112012644,5.376606918,1.612982075
2335.555254,0.232202509,2.322025089,4.179645159,,,,,,,,,2310.512035,0.124663128,5.983830131,1.795149039
2388.550126,0.223904576,2.239045755,4.030282359,,,,,,,,,2363.415938,0.105758221,5.076394591,1.522918377
2441.594804,0.221413989,2.214139894,3.98545181,,,,,,,,,2416.528073,0.111133167,5.334392034,1.60031761
2494.620736,0.216737634,2.167376337,3.901277406,,,,,,,,,2469.787587,0.133692474,6.417238737,1.925171621
2533.219626,0.217368296,2.173682962,3.912629332,,,,,,,,,2522.900861,0.139200186,6.681608912,2.004482674
-2.27E-13,1.00020985,10.0020985,18.0037773,,,,,,,,,-4.55E-13,1.00020985,48.01007281,14.40302184
