surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	C2H4	-2.769758050000	[826.36096307,  959.45228605,  960.34934469, 1053.97242644, 1229.69837936, 1348.85228724, 1472.24547713, 1668.96347041, 3105.59055667, 3125.65012816, 3173.82607546, 3196.77938303]	own calc
None	gas	CH2CO	-1.258000000000	[73.2,  231.2, 257.7, 455.4, 490.0, 591.2, 976.2, 1181.1, 1391.3, 2162.3, 3149.3, 3249.7]	GK calc
None	gas	CH3CH2OH	-3.255992000000	[134.7,  149.6,  181.7,  334.3,  384.9,  495.9,  832.0, 907.2,  992.8, 1081.6, 1157.1, 1271.7, 1295.2, 1403.1, 1426.8, 1465.6, 1502.8, 1519.1, 2959.8, 2971.0, 3032.1, 3073.8, 3090.5, 3799.5]	GK calc
None	gas	CH3COOH	-2.730331100000	[92.5,  254.2,  318.8, 413.9, 525.4, 623.6, 654.9, 867.1, 943.1, 1050.2, 1122.5, 1294.8, 1365.3, 1414.4, 1431.9, 1774.1, 3014.7, 3085.4, 3154.0, 3705.6]	GK calc
None	gas	CH4	-2.486809000000	[83.0, 143.7, 1288.3, 1302.9, 1304.3, 1504.7, 1515.7, 3022.0, 3108.2, 3121.0, 3126.1]	GK calc
None	gas	CO	0.000000000000	[78.6, 263.9, 284.3, 2115.0]	GK calc
None	gas	H2	0.000000000000	[123.3, 182.2, 304.6, 427.9, 4470.7]	GK calc
None	gas	H2O	0.000000000000	[121.9, 259.2, 290.5, 358.9, 1623.4, 3753.9,  3874.9]	GK_calc
None	gas	OCCH2	-1.345850900000	[73.2,  231.2, 257.7, 455.4, 490.0, 591.2, 976.2, 1181.1, 1391.3, 2162.3, 3149.3, 3249.7]	GK calc, added SCCS solvation energy esol_SCCS to gas phase = -0.0878509
Cu	100	CO	-0.531505000000	[228.796298, 245.346776, 310.978098, 346.784218, 355.893496, 1765.707757,]	beta=(0.05936997131538682, -0.7927325843768538)
Cu	100	HCCHO	-1.839087000000	[130.70937, 181.112097, 254.900604, 302.372722, 358.804127, 411.612497, 683.74459, 761.737734, 950.180034, 1070.22699, 1247.908881, 1316.532343, 1444.176108, 2903.343159, 3087.07136,]	beta=(-0.003375217270655616, -1.8242362761728483)
Cu	100	HOCCH2	-1.279825000000	[12.0, 110.189669, 176.828017, 212.060009, 240.981975, 390.208762, 434.643317, 533.248388, 718.112128, 763.234611, 874.778634, 1046.928249, 1191.813553, 1338.452799, 1489.200637, 3032.689663, 3119.014593, 3439.980977,]	beta=(0.09323973514487892, -1.6900794664499825)
Cu	100	OCC	-1.357229000000	[26.857106, 256.804002, 294.08888, 302.134675, 344.983921, 529.481748, 573.720208, 1220.639902, 1980.126347,]	beta=(0.18128465443997452, -2.1548819114372555)
Cu	100	OCCH	-1.332626000000	[173.065214, 231.843999, 283.890172, 300.182618, 356.126759, 376.856389, 535.504164, 568.164464, 890.406818, 1209.043956, 2018.883534, 3143.957096,]	beta=(-0.01233728737986181, -1.2783414629964143)
Cu	100	OCCH-H2O-ele	-0.183302758761	[61.238475, 152.206161, 179.548894, 191.128314, 350.070513, 408.646417, 556.451598, 577.861044, 883.504930, 1198.179923, 1237.022530, 1334.082425, 2045.395711, 3171.135321]	HHH GPAW
Cu	100	OCCH2	-1.533044000000	[112.17464887, 123.93726088, 192.1949924, 235.38913041, 293.45002329, 418.99544759, 542.55902163, 794.41723734, 807.96001389, 940.39319765, 1067.67178152, 1311.83871236, 1457.75278764, 3045.0416128, 3193.37255575]	beta=(0.05814520404008808, -1.7888828953124492)
